Index       TIME             V(CLK)            V(VIPC)           V(VINC)           V(CMPP)           V(CMPN)     
188      1.62041623e-11    1.20000000e+00    1.22176505e-07   -1.22176505e-07    9.55226873e-02    9.55226873e-02
189      1.94588048e-11    1.20000000e+00    1.46715932e-07   -1.46715932e-07    8.13804966e-02    8.13804966e-02
190      2.59680898e-11    1.20000000e+00    1.95794784e-07   -1.95794784e-07    5.97014597e-02    5.97014597e-02
191      3.24773748e-11    1.20000000e+00    2.44873637e-07   -2.44873637e-07    4.44331325e-02    4.44331325e-02
192      3.89866598e-11    1.20000000e+00    2.93952490e-07   -2.93952490e-07    3.34085327e-02    3.34085327e-02
193      4.22413023e-11    1.20000000e+00    3.18491916e-07   -3.18491916e-07    2.93623797e-02    2.93623797e-02
194      4.54959448e-11    1.20000000e+00    3.43031342e-07   -3.43031342e-07    2.55937430e-02    2.55937430e-02
195      5.20052298e-11    1.20000000e+00    3.92110195e-07   -3.92110195e-07    1.94883638e-02    1.94883638e-02
196      6.50237998e-11    1.20000000e+00    4.90267900e-07   -4.90267900e-07    1.12974124e-02    1.12974124e-02
197      7.80423698e-11    1.20000000e+00    5.88425606e-07   -5.88425606e-07    6.62159537e-03    6.62159537e-03
198      1.04079510e-10    1.20000000e+00    7.84741017e-07   -7.84741017e-07    2.11465406e-03    2.11465406e-03
199      1.30116650e-10    1.20000000e+00    9.81056427e-07   -9.81056427e-07    6.85729374e-04    6.85729374e-04
200      1.82190930e-10    1.20000000e+00    1.37368725e-06   -1.37368725e-06   -5.73226890e-06   -5.73226890e-06
201      2.34265210e-10    1.20000000e+00    1.76631807e-06   -1.76631807e-06    2.58890890e-07    2.58890883e-07
202      3.38413770e-10    1.20000000e+00    2.55157971e-06   -2.55157971e-06    1.97806814e-07    1.97806807e-07
203      4.42562330e-10    1.20000000e+00    3.33684136e-06   -3.33684136e-06    2.18583344e-07    2.18583337e-07
204      6.50859450e-10    1.20000000e+00    4.90736464e-06   -4.90736464e-06    2.10120535e-07    2.10120528e-07
205      9.00859450e-10    1.20000000e+00    6.79232024e-06   -6.79232024e-06    2.15413996e-07    2.15413988e-07
206      1.01000000e-09    1.20000000e+00    7.61522059e-06   -7.61522059e-06    2.12551415e-07    2.12551408e-07
207      1.01026544e-09    1.16814681e+00    7.61722199e-06   -7.61722199e-06    2.12559189e-07    2.12559182e-07
208      1.01047701e-09    1.14275892e+00    7.61881716e-06   -7.61881716e-06    2.12565335e-07    2.12565328e-07
209      1.01090014e-09    1.09198315e+00    7.62200749e-06   -7.62200749e-06    2.12577526e-07    2.12577519e-07
210      1.01174640e-09    9.90431601e-01    7.62838816e-06   -7.62838816e-06    2.12601314e-07    2.12601307e-07
211      1.01259267e-09    8.88880053e-01    7.63476884e-06   -7.63476884e-06    2.12624330e-07    2.12624323e-07
212      1.01343893e-09    7.87328505e-01    7.64114951e-06   -7.64114951e-06    2.12646598e-07    2.12646592e-07
213      1.01353031e-09    7.76363348e-01    7.64183847e-06   -7.64183847e-06    2.12648955e-07    2.12648948e-07
214      1.01362168e-09    7.65398190e-01    7.64252743e-06   -7.64252743e-06    2.12651307e-07    2.12651300e-07
215      1.01380443e-09    7.43467875e-01    7.64390535e-06   -7.64390535e-06    2.12655986e-07    2.12655980e-07
216      1.01398719e-09    7.21537561e-01    7.64528327e-06   -7.64528327e-06    2.12660632e-07    2.12660626e-07
217      1.01416994e-09    6.99607246e-01    7.64666120e-06   -7.64666120e-06    2.12665245e-07    2.12665239e-07
218      1.01426006e-09    6.88793315e-01    7.64734066e-06   -7.64734066e-06    2.12667504e-07    2.12667498e-07
219      1.01429685e-09    6.84378533e-01    7.64761804e-06   -7.64761804e-06    2.12668425e-07    2.12668419e-07
220      1.01433364e-09    6.79963751e-01    7.64789543e-06   -7.64789543e-06    2.12669345e-07    2.12669339e-07
221      1.01433871e-09    6.79354576e-01    7.64793371e-06   -7.64793371e-06    2.12669472e-07    2.12669466e-07
222      1.01434886e-09    6.78136226e-01    7.64801026e-06   -7.64801026e-06    2.12669726e-07    2.12669719e-07
223      1.01435236e-09    6.77716270e-01    7.64803665e-06   -7.64803665e-06    2.12669813e-07    2.12669807e-07
224      1.01435586e-09    6.77296314e-01    7.64806303e-06   -7.64806303e-06    2.12669900e-07    2.12669894e-07
225      1.01435936e-09    6.76876358e-01    7.64808942e-06   -7.64808942e-06    2.12669988e-07    2.12669981e-07
226      1.01436286e-09    6.76456402e-01    7.64811581e-06   -7.64811581e-06    2.12670075e-07    2.12670069e-07
227      1.01436583e-09    6.76099931e-01    7.64813820e-06   -7.64813820e-06    2.12670149e-07    2.12670143e-07
228      1.01436880e-09    6.75743460e-01    7.64816060e-06   -7.64816060e-06    2.12670223e-07    2.12670217e-07
229      1.01437475e-09    6.75030517e-01    7.64820540e-06   -7.64820540e-06    2.12670372e-07    2.12670365e-07
230      1.01438663e-09    6.73604631e-01    7.64829499e-06   -7.64829499e-06    2.12670668e-07    2.12670662e-07
231      1.01441039e-09    6.70752861e-01    7.64847417e-06   -7.64847417e-06    2.12671261e-07    2.12671254e-07
232      1.01445792e-09    6.65049319e-01    7.64883253e-06   -7.64883253e-06    2.12672444e-07    2.12672438e-07
